PITCAIRN;0;0;636363
POLOGNE;0;0;48
POLYNÉSIE FRANÇAISE;0;0;689
PORTO RICO;0;0;1787
PORTUGAL;0;0;351
QATAR;0;0;974
ROUMANIE;0;0;40
ROYAUME-UNI DE GRANDE-BRETAGNE ET D'IRLANDE DU NORD (LE);0;0;44
RUSSIE FÉDÉRATION (LA);0;0;7
RWANDA;0;0;250
RÉPUBLIQUE DOMINICAINE (LA);0;0;1809
RÉPUBLIQUE TCHÈQUE (LA);0;0;420
RÉUNION;0;0;(0)262
SAHARA OCCIDENTAL;0;0;888888555
SAINT BARTHÉLEMY;0;0;66633222
SAINT KITTS AND NEVIS;0;0;1869
SAINT LUCIE;0;0;1758
SAINT MARIN;0;0;378
SAINT MARTIN (PARTIE FRANÇAISE);0;0;985566
SAINT PIERRE ET MIQUELON;0;0;508
SAINT SIÈGE(LE);0;0;154254
SAINT-VINCENT-ET-LES-GRENADINES;0;0;1784
Sainte-Hélène, Ascension et Tristan da CunhaA;0;0;45451
SAMOA;0;0;685
SAMOA AMÉRICAINE;0;0;84755
SAO TOME ET PRINCIPE;0;0;239
SERBIE;0;0;545454
SEYCHELLES;0;0;248
SIERRA LEONE;0;0;232
SINGAPOUR;0;0;65
SINT MAARTEN (PARTIE NEERLANDAISE);0;0;44414
"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""";0;0;441541
SLOVAQUIE;0;0;421
SLOVÉNIE;0;0;386
SOLOMON ILES S;0;0;677
SOMALIE;0;0;252
SOUDAN (LE);0;0;-249
SOUDAN DU SUD;0;0;249
SRI LANKA;0;0;94
SUISSE;0;0;41
SURINAME;0;0;597
SUÈDE;0;0;46
SVALBARD ET JAN MAYEN;0;0;415454
SWAZILAND;0;0;268
SYRIE, REPUBLIQUE ARABE DE;0;0;963
SéNéGAL;0;0;221
TADJIKISTAN;0;0;992
TAIWAN (PROVINCE DE CHINE);0;0;886
TANZANIE, RÉPUBLIQUE UNIE DE;0;0;255
TCHAD;1;18;235
TERRITOIRES ANGLAIS DE L'OCÉAN INDIEN (LES);0;0;4411444
TERRITOIRES DU SUD FRANÇAIS (LES);0;0;544414
THAILANDE;0;0;66
TIMOR-LESTE;0;0;5556665
TOGO;0;0;228
TOKELAU;0;0;2222
TONGA;0;0;676
TRINIDAD et TOBAGO;0;0;1868
TUNISIA;0;0;216
TURKMENISTAN;0;0;993
TURQUIE;0;0;90
TUVALU;0;0;688
UKRAINE;0;0;380
